Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"5V Step-Down Power Supply","LM2596 DC-DC Buck Converter Module","Step-down voltage regulator to convert 12V to 5V for the microcontroller and sensors.","electrical","power",1,4.00,4.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxfxyvZuXFg7GymQIiWhjuNtVTPqj3Lo4XOZwXfyPinxUunYhcnzsECmhQXvQMwBZFO7y8k7xoMt4iHjuv8bTZiSwN9PdOaJjeEstgI5aHcGyrbRTjMrq76aa3rCOGKKow9ilh4RN26OW5032Q8A2ovdeUBL8On7LAmb3PpqilGVbgAqyzJUf4vUSlpGbWyNwnHJQC59F7HfkNmMAbPGABOWfsLqrZyZnZpqGsAlYm4qo9o0CbR4CekVi511lmJV8Db7lnVqPdeSTULq9VwHuUzF26qVb4pJCOMLfP7CIucHT9JWns8gVz4mtI0hRZhC8Jq2LuwiNZWltkCBtPSqDc0aZfVDWEOwgYoz6Hr748Ujnb5MOghxGRrBLUcy1LNcH5ZyAsLAXTvKAUcghaQSTKKvZUmZhR8K2ZGkHHmSldb5Yt0GmRQtYidPrxgtubvF2SnZnKozGziLBfNzSYLU3rFNe3hBX2PFWrC37l3APka3ZBboyS8GLDuvJm4fmdzPqpKq6kueHSuP60R9uG5WESQJX0Ge2eV4AEkfIx0X0PoUJiNlx46vSzJoLOLXhwWDSJEtQxuumz5cjZlkCCKXHEzPDNmz0Lj1VEy7wFMfoLK9HLd7EPxb3AerDlrYOFhG642RU4SSptpu2AL1rESpj2ryf"
"Main Sensor Plate","","Primary 3D-printed mounting platform for all sensors and electronics, optimized for weight and compatibility with a 450mm quadcopter frame.","mechanical","structural",1,5.00,5.00,"https://www.amazon.com/s?k=PLA+filament"
"Vibration Isolator Front Left","M3 Rubber Standoff Vibration Damper","Rubber standoff to absorb vibrations from the drone frame to the main sensor plate.","mechanical","misc",1,0.75,0.75,"https://www.amazon.com/dp/B0DCTNB7PQ?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Vibration Isolator Front Right","M3 Rubber Standoff Vibration Damper","Rubber standoff to absorb vibrations from the drone frame to the main sensor plate.","mechanical","misc",1,0.75,0.75,"https://www.amazon.com/dp/B0DCTNB7PQ?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Vibration Isolator Rear Left","M3 Rubber Standoff Vibration Damper","Rubber standoff to absorb vibrations from the drone frame to the main sensor plate.","mechanical","misc",1,0.75,0.75,"https://www.amazon.com/dp/B0DCTNB7PQ?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Vibration Isolator Rear Right","M3 Rubber Standoff Vibration Damper","Rubber standoff to absorb vibrations from the drone frame to the main sensor plate.","mechanical","misc",1,0.75,0.75,"https://www.amazon.com/dp/B0DCTNB7PQ?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Fluxgate Boom Mount","","Custom 3D-printed mount for the retractable fluxgate magnetometer boom, allowing for deployment and retraction.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=PLA+filament"
"Thermal Camera Mount","","Custom 3D-printed housing and mount for the FLIR Lepton Thermal Camera, ensuring clear FOV.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=PLA+filament"
"Thermal Camera Breakout Mount","","Custom 3D-printed mount for the FLIR Lepton Breakout Board, integrated with the camera mount.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=PLA+filament"
"Laser Line Module Mount","","Custom 3D-printed mount for the laser line module, ensuring precise alignment for vibrometry.","mechanical","3d_printed",1,0.20,0.20,"https://www.amazon.com/s?k=PLA+filament"
"Global Shutter Camera Mount","","Custom 3D-printed housing and mount for the global shutter camera, ensuring clear FOV for vibrometry.","mechanical","3d_printed",1,0.70,0.70,"https://www.amazon.com/s?k=PLA+filament"
"Acoustic Speaker Mount","","Custom 3D-printed enclosure and mount for the mini acoustic speaker, directing sound for vibrometry.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=PLA+filament"
"Audio Amplifier Mount","","Custom 3D-printed mount for the audio amplifier board.","mechanical","3d_printed",1,0.20,0.20,"https://www.amazon.com/s?k=PLA+filament"
"NanoVNA GPR Housing","","Custom 3D-printed protective housing for the NanoVNA-V2, part of the SFCW GPR payload.","mechanical","enclosure",1,1.20,1.20,"https://www.amazon.com/s?k=PLA+filament"
"Vivaldi Antenna Front Mount","","Custom 3D-printed mount for the front Vivaldi antenna, fixed at a downward angle.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=PLA+filament"
"Vivaldi Antenna Rear Mount","","Custom 3D-printed mount for the rear Vivaldi antenna, fixed at a downward angle.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=PLA+filament"
"Raspberry Pi 4 Housing","Raspberry Pi 4 Housing","Custom 3D-printed protective enclosure for the Raspberry Pi 4, with ventilation.","mechanical","enclosure",1,1.50,1.50,"https://www.amazon.com/s?k=PLA+filament"
"GPS/RTK Module Mount","","Custom 3D-printed mount for the u-blox ZED-F9P GPS/RTK module, ensuring clear sky view.","mechanical","3d_printed",1,0.40,0.40,"https://www.amazon.com/s?k=PLA+filament"
"Power Supply Module Mount","","Custom 3D-printed mount for the 5V Step-Down Power Supply module.","mechanical","3d_printed",1,0.20,0.20,"https://www.amazon.com/s?k=PLA+filament"
"M3x10mm Mounting Screws","M3x10mm Phillips Head Screws","General purpose screws for mounting various components to the 3D-printed parts.","mechanical","misc",20,0.05,1.00,"https://www.amazon.com/dp/B0GC3CD86G?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M3 Nuts","M3 Hex Nuts","General purpose nuts for M3 screws.","mechanical","misc",20,0.03,0.60,"https://www.amazon.com/dp/B0F9FC4563?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
