Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"ESC Front Left","30A Brushless ESC","Electronic Speed Controller for the left brushless DC motor.","electrical","actuator",1,10.00,10.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxher9vQzCVICf1ckyoKqTWDm8xDQLGT9Q9tkZdTEnrFVmx5D619KpYtdd8t80rxILMDfZY9sxhWS5f8NbIm3YQcX0s9hba0BuHhr9sXuz086lprkm0iawnRMIxHPigE1z9HACWbmnwgtCVSWZcoisFVfzAQXYwEBu8jNqJMKPZsnTZpMaUNyySonFfGLbSKuP6rtakgCrDEfmdwlZzZQyJUpXkar5tB3WE0Ea8q0B4tEY9NWMFB7RXzPUhORr0cOFWXS4dQzNU9cy9Kva44FJfZzIgnynmllR10vEPpVFGRfJtRsGI9eH71K597jyLlNlyeokp44zbAPD3yvrH2VChTyQpjcA1ifc6fYcLnADO2ylk2y5tuUn8lJTBrtJCNJpNUseFZHAdYcGLYODTmM5AY5Y2g76slLdxtvXllYghIsH6B6MyAfgoPpLDCFDYsJiKlAMPYpska35NN7Gzqm7IkQovY9zUyBvjlk3SfUx0nwGxAv10PnDCgawPP2UkbORFjZF1PaYGIiBZ0SesAFIvBnwYCC6BXvOzPo2LKvrmTNexbAHWnvcICcdO4uJWRkfLoGZwHzNN57Tg7XhLPAUuhwg7OUZ2RsTQpX4cBUkJHXG83WiDffj3p7poDPxcXR89AHsUBl4eCP7mBGfoUwDEjv"
"ESC Front Right","30A Brushless ESC","Electronic Speed Controller for the left brushless DC motor.","electrical","actuator",1,10.00,10.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxher9vQzCVICf1ckyoKqTWDm8xDQLGT9Q9tkZdTEnrFVmx5D619KpYtdd8t80rxILMDfZY9sxhWS5f8NbIm3YQcX0s9hba0BuHhr9sXuz086lprkm0iawnRMIxHPigE1z9HACWbmnwgtCVSWZcoisFVfzAQXYwEBu8jNqJMKPZsnTZpMaUNyySonFfGLbSKuP6rtakgCrDEfmdwlZzZQyJUpXkar5tB3WE0Ea8q0B4tEY9NWMFB7RXzPUhORr0cOFWXS4dQzNU9cy9Kva44FJfZzIgnynmllR10vEPpVFGRfJtRsGI9eH71K597jyLlNlyeokp44zbAPD3yvrH2VChTyQpjcA1ifc6fYcLnADO2ylk2y5tuUn8lJTBrtJCNJpNUseFZHAdYcGLYODTmM5AY5Y2g76slLdxtvXllYghIsH6B6MyAfgoPpLDCFDYsJiKlAMPYpska35NN7Gzqm7IkQovY9zUyBvjlk3SfUx0nwGxAv10PnDCgawPP2UkbORFjZF1PaYGIiBZ0SesAFIvBnwYCC6BXvOzPo2LKvrmTNexbAHWnvcICcdO4uJWRkfLoGZwHzNN57Tg7XhLPAUuhwg7OUZ2RsTQpX4cBUkJHXG83WiDffj3p7poDPxcXR89AHsUBl4eCP7mBGfoUwDEjv"
"ESC Rear Left","30A Brushless ESC","Electronic Speed Controller for the left brushless DC motor.","electrical","actuator",1,10.00,10.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxher9vQzCVICf1ckyoKqTWDm8xDQLGT9Q9tkZdTEnrFVmx5D619KpYtdd8t80rxILMDfZY9sxhWS5f8NbIm3YQcX0s9hba0BuHhr9sXuz086lprkm0iawnRMIxHPigE1z9HACWbmnwgtCVSWZcoisFVfzAQXYwEBu8jNqJMKPZsnTZpMaUNyySonFfGLbSKuP6rtakgCrDEfmdwlZzZQyJUpXkar5tB3WE0Ea8q0B4tEY9NWMFB7RXzPUhORr0cOFWXS4dQzNU9cy9Kva44FJfZzIgnynmllR10vEPpVFGRfJtRsGI9eH71K597jyLlNlyeokp44zbAPD3yvrH2VChTyQpjcA1ifc6fYcLnADO2ylk2y5tuUn8lJTBrtJCNJpNUseFZHAdYcGLYODTmM5AY5Y2g76slLdxtvXllYghIsH6B6MyAfgoPpLDCFDYsJiKlAMPYpska35NN7Gzqm7IkQovY9zUyBvjlk3SfUx0nwGxAv10PnDCgawPP2UkbORFjZF1PaYGIiBZ0SesAFIvBnwYCC6BXvOzPo2LKvrmTNexbAHWnvcICcdO4uJWRkfLoGZwHzNN57Tg7XhLPAUuhwg7OUZ2RsTQpX4cBUkJHXG83WiDffj3p7poDPxcXR89AHsUBl4eCP7mBGfoUwDEjv"
"ESC Rear Right","30A Brushless ESC","Electronic Speed Controller for the left brushless DC motor.","electrical","actuator",1,10.00,10.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxher9vQzCVICf1ckyoKqTWDm8xDQLGT9Q9tkZdTEnrFVmx5D619KpYtdd8t80rxILMDfZY9sxhWS5f8NbIm3YQcX0s9hba0BuHhr9sXuz086lprkm0iawnRMIxHPigE1z9HACWbmnwgtCVSWZcoisFVfzAQXYwEBu8jNqJMKPZsnTZpMaUNyySonFfGLbSKuP6rtakgCrDEfmdwlZzZQyJUpXkar5tB3WE0Ea8q0B4tEY9NWMFB7RXzPUhORr0cOFWXS4dQzNU9cy9Kva44FJfZzIgnynmllR10vEPpVFGRfJtRsGI9eH71K597jyLlNlyeokp44zbAPD3yvrH2VChTyQpjcA1ifc6fYcLnADO2ylk2y5tuUn8lJTBrtJCNJpNUseFZHAdYcGLYODTmM5AY5Y2g76slLdxtvXllYghIsH6B6MyAfgoPpLDCFDYsJiKlAMPYpska35NN7Gzqm7IkQovY9zUyBvjlk3SfUx0nwGxAv10PnDCgawPP2UkbORFjZF1PaYGIiBZ0SesAFIvBnwYCC6BXvOzPo2LKvrmTNexbAHWnvcICcdO4uJWRkfLoGZwHzNN57Tg7XhLPAUuhwg7OUZ2RsTQpX4cBUkJHXG83WiDffj3p7poDPxcXR89AHsUBl4eCP7mBGfoUwDEjv"
"Telemetry Radio Module","Holybro SiK Telemetry Radio V3 (433MHz or 915MHz)","","electrical","module",1,60.00,60.00,"https://www.getfpv.com/holybro-sik-telemetry-radio-v3-433mhz-915mhz.html"
"Main Frame Bottom Plate","DJI F450 Quadcopter Frame Carbon Fiber Plate","Bottom plate of the quadcopter frame, typically holding the power distribution board and providing mounting points for arms and landing gear.","mechanical","structural",1,12.00,12.00,"https://www.amazon.com/dp/B087LT81C8?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Main Frame Top Plate","DJI F450 Quadcopter Frame Carbon Fiber Plate","Top plate of the quadcopter frame, providing mounting for flight controller, battery, and other electronics.","mechanical","structural",1,12.00,12.00,"https://www.amazon.com/dp/B087LT81C8?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Frame Arm Front Left","DJI F450 Quadcopter Frame Arm","Front left arm of the quadcopter frame, supporting the motor and ESC.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B087LT81C8?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Frame Arm Front Right","DJI F450 Quadcopter Frame Arm","Front right arm of the quadcopter frame, supporting the motor and ESC.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B087LT81C8?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Frame Arm Rear Left","DJI F450 Quadcopter Frame Arm","Rear left arm of the quadcopter frame, supporting the motor and ESC.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B087LT81C8?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Frame Arm Rear Right","DJI F450 Quadcopter Frame Arm","Rear right arm of the quadcopter frame, supporting the motor and ESC.","mechanical","structural",1,3.00,3.00,"https://www.amazon.com/dp/B087LT81C8?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Landing Skid Set","DJI F450 Landing Gear Skids","Standard landing gear skids to provide stable ground clearance for the drone.","mechanical","structural",1,15.00,15.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxI5u6mGLm2brOZ5cjXb4ksgRfzy6Fy8MyWDOWA4BtE5VcjDC8YgHPWdSCVioXsSJD2HROENK86QArpfzmiDAyvKfnKWOVFviaw43TFPnOFyDgT8WvaLwIP0GROcbWEyYBwaJRED4nwkDk816WYeqioKQDPcbCzJFXGiuawTTxEZCrLmkxSMwMKk0lTT5KGRpAQPi35QnvLDQ5W69234Byu9xJLoAOhRyuK8lu5dZrZCwX2rNXWcR6W2PcMTITVCregihWg7iHkjKBN8rlX0H1F0de0HcnenjEl2vZMaQHzoXdwtHglG9frbIDk292soFHrcQ2sjsAJUD5zWE7bDMW50ZDEEsqDoLEt46MbmgBurw01djBDSCOczyx1rEKYKqFVrtuLEjhKQXjxaIFdLXb8r6QJyBUoz1ocaznmvQxU6qlS4YmLIhxiIWWGBMeovskvE9V3WmG7LZDLcmWTFpTGPTuhvIyQ7s9KxVnQmuLz5ujMU8PsxSx9JrS0rQoc2EJhar2NnATAils25QrGlaWJkMMN5wRBmTIxKVu1RTTmBZvSlq1tK8lRsZRvqSXsvtAaOrKxpVVMviCluk8F4o03dLzHFjPIUO29qaNsaSH1i9brrJQnrVN2TPBUTuQKeoBHz5n3uSZ1mJRwVD4vMhtDFz"
"Propeller Front Left","1045 Propeller CW/CCW","Self-tightening plastic propeller for the front left motor, rotating clockwise.","mechanical","mechanism",1,3.50,3.50,"https://www.amazon.com/dp/B0823NNTKD?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Propeller Front Right","1045 Propeller CW/CCW","Self-tightening plastic propeller for the front right motor, rotating counter-clockwise.","mechanical","mechanism",1,3.50,3.50,"https://www.amazon.com/dp/B0823NNTKD?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Propeller Rear Left","1045 Propeller CW/CCW","Self-tightening plastic propeller for the rear left motor, rotating counter-clockwise.","mechanical","mechanism",1,3.50,3.50,"https://www.amazon.com/dp/B0823NNTKD?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Propeller Rear Right","1045 Propeller CW/CCW","Self-tightening plastic propeller for the rear right motor, rotating clockwise.","mechanical","mechanism",1,3.50,3.50,"https://www.amazon.com/dp/B0823NNTKD?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Collapsible Sensor Boom","Carbon Fiber Telescopic Pole","Lightweight, non-magnetic carbon fiber telescopic pole, 30-50cm extended, to minimize magnetic interference from the drone.","mechanical","mechanism",1,25.00,25.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxxaJBbtb8NVOBUEOdQYKphtEGazmnk4lsWFEND7PCw78BmmsQq9c0cIO21PkfFak57nzi4znXZXZEKFJcWkuEbDMdqGawH5sjBsZEv8WhWz5M2guw02uIJahNpU2QM3SQ4pAV5jgiHT5ZivdlyLaEgGQK0v00yrQ1MwdtvpVSfPSZweAn7vQeaubAUN1TDC3ZO1LSjaeKMQYzdWIztEIr4xIrIC1kugayQ6bhefA2itXnufkLXvMkIdZkWO0snPjOyeAIeRxqrdBRIfEWX78smT9fB3Hp5fA1GnT4uxjAkdy9Q8asIcCGWace4DBr0y7I8grAyaNiCiOigSkTIhOOtDwJYJA84FGbODASNJ1XakAJaTnTa6sWJw875kpdg6FlVd37c0TOKNU72SiLNrMO4NfwMDqrc7JIaDOmgmhyPquMNcjUAMkEcUnD10a1Hpjh9wXEOLeCsN7zIRL4TJsOyPnP8EkKi6ZAfGh3pNZYuzHECpSbqbvfWF9vl9Yez8QvZsiZrBIE3McumexbgHMN1VszneB8Q3HCQncZApAK7CLZ6mrSbmsFgYtYxcsGb1GMciXEnUlb077IMdDl4537U9IjJG8MFsZKOWgd9AInMu8I2LKRQnB5u8CbmoI3MQeEEGLb1zBQTeWXtwMynUm1FBN"
